2022-04-19 10:05:18 status half-installed ncurses-bin:arm64 6.3-2
2022-04-19 10:05:18 status unpacked ncurses-bin:arm64 6.3-2
2022-04-19 10:05:18 install passwd:arm64 <none> 1:4.8.1-2ubuntu2
2022-04-19 10:05:18 status half-installed passwd:arm64 1:4.8.1-2ubuntu2
2022-04-19 10:05:18 status unpacked passwd:arm64 1:4.8.1-2ubuntu2
2022-04-19 10:05:18 upgrade perl-base:arm64 5.34.0-3ubuntu1 5.34.0-3ubuntu1
2022-04-19 10:05:18 status half-configured perl-base:arm64 5.34.0-3ubuntu1
2022-04-19 10:05:18 status unpacked perl-base:arm64 5.34.0-3ubuntu1
2022-04-19 10:05:18 status half-installed perl-base:arm64 5.34.0-3ubuntu1
2022-04-19 10:05:19 status unpacked perl-base:arm64 5.34.0-3ubuntu1
2022-04-19 10:05:19 install procps:arm64 <none> 2:3.3.17-6ubuntu2
2022-04-19 10:05:19 status half-installed procps:arm64 2:3.3.17-6ubuntu2
2022-04-19 10:05:19 status unpacked procps:arm64 2:3.3.17-6ubuntu2
2022-04-19 10:05:19 install sed:arm64 <none> 4.8-1ubuntu2
2022-04-19 10:05:19 status half-installed sed:arm64 4.8-1ubuntu2
2022-04-19 10:05:19 status unpacked sed:arm64 4.8-1ubuntu2
2022-04-19 10:05:19 install sensible-utils:all <none> 0.0.17
2022-04-19 10:05:19 status half-installed sensible-utils:all 0.0.17
2022-04-19 10:05:19 status unpacked sensible-utils:all 0.0.17
2022-04-19 10:05:19 install sysvinit-utils:arm64 <none> 3.01-1ubuntu1
2022-04-19 10:05:19 status half-installed sysvinit-utils:arm64 3.01-1ubuntu1
2022-04-19 10:05:19 status unpacked sysvinit-utils:arm64 3.01-1ubuntu1
2022-04-19 10:05:19 install tar:arm64 <none> 1.34+dfsg-1build3
2022-04-19 10:05:19 status half-installed tar:arm64 1.34+dfsg-1build3
2022-04-19 10:05:19 status unpacked tar:arm64 1.34+dfsg-1build3
2022-04-19 10:05:19 install usrmerge:all <none> 25ubuntu2
2022-04-19 10:05:19 status half-installed usrmerge:all 25ubuntu2
2022-04-19 10:05:19 status unpacked usrmerge:all 25ubuntu2
2022-04-19 10:05:19 install util-linux:arm64 <none> 2.37.2-4ubuntu3
2022-04-19 10:05:19 status half-installed util-linux:arm64 2.37.2-4ubuntu3
2022-04-19 10:05:19 status unpacked util-linux:arm64 2.37.2-4ubuntu3
2022-04-19 10:05:19 install zlib1g:arm64 <none> 1:1.2.11.dfsg-2ubuntu9
2022-04-19 10:05:19 status half-installed zlib1g:arm64 1:1.2.11.dfsg-2ubuntu9
2022-04-19 10:05:19 status unpacked zlib1g:arm64 1:1.2.11.dfsg-2ubuntu9
2022-04-19 10:05:19 startup packages configure
2022-04-19 10:05:19 configure lsb-base:all 11.1.0ubuntu4 <none>
2022-04-19 10:05:19 status unpacked lsb-base:all 11.1.0ubuntu4
2022-04-19 10:05:19 status half-configured lsb-base:all 11.1.0ubuntu4
2022-04-19 10:05:19 status installed lsb-base:all 11.1.0ubuntu4
2022-04-19 10:05:19 configure libtirpc-common:all 1.3.2-2build1 <none>
2022-04-19 10:05:19 status unpacked libtirpc-common:all 1.3.2-2build1
2022-04-19 10:05:19 status half-configured libtirpc-common:all 1.3.2-2build1
2022-04-19 10:05:19 status installed libtirpc-common:all 1.3.2-2build1
2022-04-19 10:05:19 configure libaudit-common:all 1:3.0.7-1build1 <none>
2022-04-19 10:05:19 status unpacked libaudit-common:all 1:3.0.7-1build1
2022-04-19 10:05:20 status half-configured libaudit-common:all 1:3.0.7-1build1
2022-04-19 10:05:20 status installed libaudit-common:all 1:3.0.7-1build1
2022-04-19 10:05:20 configure libsemanage-common:all 3.3-1build2 <none>
2022-04-19 10:05:20 status unpacked libsemanage-common:all 3.3-1build2
2022-04-19 10:05:20 status half-configured libsemanage-common:all 3.3-1build2
2022-04-19 10:05:20 status installed libsemanage-common:all 3.3-1build2
2022-04-19 10:05:20 configure gcc-12-base:arm64 12-20220319-1ubuntu1 <none>
2022-04-19 10:05:20 status unpacked gcc-12-base:arm64 12-20220319-1ubuntu1
2022-04-19 10:05:20 status half-configured gcc-12-base:arm64 12-20220319-1ubuntu1
2022-04-19 10:05:20 status installed gcc-12-base:arm64 12-20220319-1ubuntu1
2022-04-19 10:05:20 configure ncurses-base:all 6.3-2 <none>
2022-04-19 10:05:20 status unpacked ncurses-base:all 6.3-2
2022-04-19 10:05:20 status half-configured ncurses-base:all 6.3-2
2022-04-19 10:05:20 status installed ncurses-base:all 6.3-2
2022-04-19 10:05:20 configure sensible-utils:all 0.0.17 <none>
2022-04-19 10:05:20 status unpacked sensible-utils:all 0.0.17
2022-04-19 10:05:20 status half-configured sensible-utils:all 0.0.17
2022-04-19 10:05:20 status installed sensible-utils:all 0.0.17
